"ZIP","NORM_MME","RANK"
14173,124173.9668648989905492424242424242,1
10119,85681.63347826087040434782608695652,2
10535,54616.65057081081103675675675675676,3
12775,32602.64689812799308141053548106226,4
12754,25660.47433619477917523888658080598,5
